iteration,secondPartCharge,compensationCharge,waterUndertaker,volume,source,eiucSource,season,loss,region,abatementAdjustment,s127Agreement,s130Agreement,billableDays,abstractableDays,expChargeValue,expSucFactor,expVolumeFactor,expSourceFactor,expSeasonFactor,expLossFactor,expAbatementAdjustment,expS127Agreement,expS130Agreement,expEiucSourceFactor,expEiucFactor,expDP_sourceFactor,expDP_seasonFactor,expDP_lossFactor,expDP_volumeFactor,expDP_abatementAdjustment,expDP_s127Agreement,expDP_s130Agreement,expDP_secondPartCharge,expDP_waterUndertaker,expDP_eiucFactor,expDP_compensationCharge,expDP_eiucSourceFactor,expDP_sucFactor
99,true,false,false,1,Unsupported,Unsupported,Winter,Medium,Dee,1.00,false,true,0,0,0.65,13.58,1,1.0,0.16,0.6,S126 x 1.0,,S130U x 0.5,0.0,0.0,1,0.16,0.096,1,1.30368,1.30368,0.65184,true,false,0,false,0,1.30368
100,false,false,false,1.001,Kielder,,All Year,Low,Wye,1.00,false,false,309,365,1.04,13.58,1.001,3.0,1.0,0.03,S126 x 1.0,,,0.0,0.0,3.003,3.003,0.09009,1.001,1.2234222,1.2234222,1.2234222,false,false,0,false,0,1.2234222
101,false,false,false,321,Kielder,,Summer,Very Low,Anglian,0.40,false,false,355,355,50.86,27.51,321,3.0,1.6,0.003,S126 x 0.4,,,0.0,0.0,963,1540.8,4.6224,321,50.8648896,50.8648896,50.8648896,false,false,0,false,0,127.162224
102,false,false,false,2.212,Kielder,,Winter,High,Devon and Cornwall (South West),1.00,true,true,365,365,8.72,19.71,2.212,3.0,0.16,1.0,S126 x 1.0,S127 x 0.5,S130S x 0.833,0.0,0.0,6.636,1.06176,1.06176,2.212,20.9272896,10.4636448,8.719703997,false,false,0,false,0,20.9272896
103,true,false,false,0.999,Supported,Supported,All Year,High,Midlands,1.00,true,true,0,0,18.67,14.95,0.999,3.0,1.0,1.0,S126 x 1.0,S127 x 0.5,S130S x 0.833,0.0,0.0,2.997,2.997,2.997,0.999,44.80515,22.402575,18.66881249,true,false,0,false,0,44.80515
104,false,false,false,8180,Supported,,Summer,Medium,North and South Wessex,1.00,false,false,0,2,0.00,19.71,8180,3.0,1.6,0.6,S126 x 1.0,,,0.0,0.0,24540,39264,23558.4,8180,464336.064,464336.064,464336.064,false,false,0,false,0,464336.064
105,false,true,false,3.1,Unsupported,Unsupported,Winter,Low,Northumbria,1.00,false,false,365,365,0.00,0,3.1,0,0.16,0.03,S126 x 1.0,,,1.0,0.00,0,0.496,0.01488,3.1,0,0,0,false,false,0,true,3.1,0
106,false,true,false,0.009,Unsupported,Tidal,All Year,Very Low,North and South Wessex,1.00,false,true,214,366,0.00,0,0.009,0,1.0,0.003,S126 x 1.0,,S130U x 0.5,0.2,12.91,0,0.0018,0.0000054,0.009,0.000069714,0,0.000034857,false,false,0.000069714,true,0.0018,0
107,false,false,false,100.2,Tidal,,All Year,High,North West,0.50,false,false,366,366,125.95,12.57,100.2,0.2,1.0,1.0,S126 x 0.5,,,0.0,0.0,20.04,20.04,20.04,100.2,125.9514,125.9514,125.9514,false,false,0,false,0,251.9028
108,false,false,false,14.3185,Unsupported,,Summer,High,Wales,1.00,true,false,134,214,97.40,13.58,14.3185,1.0,1.6,1.0,S126 x 1.0,S127 x 0.5,,0.0,0.0,14.3185,22.9096,22.9096,14.3185,311.112368,155.556184,155.556184,false,false,0,false,0,311.112368
109,false,true,false,5.4,Unsupported,Unsupported,All Year,Medium,Thames,0.50,false,false,366,366,1.34,0,5.4,0,1.0,0.6,S126 x 0.5,,,1.0,0.83,0,5.4,3.24,5.4,1.3446,0,1.3446,false,false,2.6892,true,5.4,0
110,false,true,false,32.991,Unsupported,Other,Summer,High,Thames,1.00,false,false,31,245,5.54,0,32.991,0,1.6,1.0,S126 x 1.0,,,1.0,0.83,0,52.7856,52.7856,32.991,43.812048,0,43.812048,false,false,43.812048,true,32.991,0
111,false,false,false,99.092,Supported,,Summer,High,South West (incl Wessex),1.00,false,false,287,365,7371.49,19.71,99.092,3.0,1.6,1.0,S126 x 1.0,,,0.0,0.0,297.276,475.6416,475.6416,99.092,9374.895936,9374.895936,9374.895936,false,false,0,false,0,9374.895936
112,true,false,false,75,Supported, ,Winter,High,North and South Wessex,1.00,true,false,0,0,354.78,19.71,75,3.0,0.16,1.0,S126 x 1.0,S127 x 0.5,,0.0,0.0,225,36,36,75,709.56,354.78,354.78,true,false,0,false,0,709.56
113,false,true,false,202.202,Tidal,Kielder,All Year,Very Low,Devon and Cornwall (South West),0.50,false,false,6,45,0.52,0,202.202,0,1.0,0.003,S126 x 0.5,,,1.0,12.91,0,202.202,0.606606,202.202,3.91564173,0,3.91564173,false,false,7.83128346,true,202.202,0
114,true,false,false,0,Supported,Unsupported,Winter,Low,Devon and Cornwall (South West),1.00,false,false,0,0,0.00,19.71,0,3.0,0.16,0.03,S126 x 1.0,,,0.0,0.0,0,0,0,0,0,0,0,true,false,0,false,0,0
115,true,false,false,0.001,Tidal,Unsupported,Summer,Medium,Wales,1.00,false,false,0,0,0.00,13.58,0.001,0.2,1.6,0.6,S126 x 1.0,,,0.0,0.0,0.0002,0.00032,0.000192,0.001,0.00260736,0.00260736,0.00260736,true,false,0,false,0,0.00260736
116,true,false,false,0.001,Unsupported,Unsupported,Summer,High,Thames,1.00,false,true,0,0,0.01,13.84,0.001,1.0,1.6,1.0,S126 x 1.0,,S130U x 0.5,0.0,0.0,0.001,0.0016,0.0016,0.001,0.022144,0.022144,0.011072,true,false,0,false,0,0.022144
117,true,false,false,3637,Supported,Tidal,Winter,High,North and South Wessex,1.00,false,true,0,0,28674.11,19.71,3637,3.0,0.16,1.0,S126 x 1.0,,S130S x 0.833,0.0,0.0,10911,1745.76,1745.76,3637,34408.9296,34408.9296,28674.10799,true,false,0,false,0,34408.9296
118,true,false,false,1.1,Kielder,Unsupported,All Year,Low,Devon and Cornwall (South West),1.00,false,false,0,0,1.95,19.71,1.1,3.0,1.0,0.03,S126 x 1.0,,,0.0,0.0,3.3,3.3,0.099,1.1,1.95129,1.95129,1.95129,true,false,0,false,0,1.95129
119,true,false,false,404.404,Kielder,Supported,Winter,High,South West (incl Wessex),1.00,false,false,0,0,3825.99,19.71,404.404,3.0,0.16,1.0,S126 x 1.0,,,0.0,0.0,1213.212,194.11392,194.11392,404.404,3825.985363,3825.985363,3825.985363,true,false,0,false,0,3825.985363
120,true,false,false,2,Kielder,Unsupported,All Year,Low,Wales,1.00,false,true,0,0,2.04,13.58,2,3.0,1.0,0.03,S126 x 1.0,,S130S x 0.833,0.0,0.0,6,6,0.18,2,2.4444,2.4444,2.036999999,true,false,0,false,0,2.4444
121,true,false,false,0.009,Kielder,Supported,Summer,Low,Devon and Cornwall (South West),1.00,false,false,0,0,0.03,19.71,0.009,3.0,1.6,0.03,S126 x 1.0,,,0.0,0.0,0.027,0.0432,0.001296,0.009,0.02554416,0.02554416,0.02554416,true,false,0,false,0,0.02554416
122,true,false,false,1,Unsupported,Unsupported,Winter,Medium,North and South Wessex,1.00,false,true,0,0,0.95,19.71,1,1.0,0.16,0.6,S126 x 1.0,,S130U x 0.5,0.0,0.0,1,0.16,0.096,1,1.89216,1.89216,0.94608,true,false,0,false,0,1.89216
123,true,false,false,0.999,Unsupported,Supported,All Year,High,Wales,1.00,true,true,0,0,3.39,13.58,0.999,1.0,1.0,1.0,S126 x 1.0,S127 x 0.5,S130U x 0.5,0.0,0.0,0.999,0.999,0.999,0.999,13.56642,6.78321,3.391605,true,false,0,false,0,13.56642
124,true,false,false,75,Unsupported, ,Winter,High,Devon and Cornwall (South West),1.00,true,false,0,0,118.26,19.71,75,1.0,0.16,1.0,S126 x 1.0,S127 x 0.5,,0.0,0.0,75,12,12,75,236.52,118.26,118.26,true,false,0,false,0,236.52
125,false,true,false,0,Tidal,Unsupported,Winter,High,Thames,1.00,false,false,214,366,0.00,0,0,0,0.16,1.0,S126 x 1.0,,,1.0,0.83,0,0,0,0,0,0,0,false,false,0,true,0,0
126,false,true,false,3.1,Supported,Unsupported,Winter,Low,North and South Wessex,1.00,false,false,365,365,0.19,0,3.1,0,0.16,0.03,S126 x 1.0,,,1.0,12.91,0,0.496,0.01488,3.1,0.1921008,0,0.1921008,false,false,0.1921008,true,3.1,0
127,false,true,false,0.009,Unsupported,Tidal,All Year,Very Low,Wales,1.00,false,true,214,366,0.00,0,0.009,0,1.0,0.003,S126 x 1.0,,S130U x 0.5,0.2,8.69,0,0.0018,0.0000054,0.009,0.000046926,0,0.000023463,false,false,0.000046926,true,0.0018,0
128,false,true,false,5.4,Kielder,Unsupported,All Year,Medium,Wales,0.50,false,false,366,366,14.08,0,5.4,0,1.0,0.6,S126 x 0.5,,,1.0,8.69,0,5.4,3.24,5.4,14.0778,0,14.0778,false,false,28.1556,true,5.4,0
129,false,true,false,32.991,Kielder,Other,Summer,High,Thames,1.00,false,false,31,245,5.54,0,32.991,0,1.6,1.0,S126 x 1.0,,,1.0,0.83,0,52.7856,52.7856,32.991,43.812048,0,43.812048,false,false,43.812048,true,32.991,0
130,false,true,true,202.202,Tidal,Kielder,All Year,Very Low,Devon and Cornwall (South West),0.50,false,false,6,45,0.00,0,202.202,0,1.0,0.003,S126 x 0.5,,,1.0,0.00,0,202.202,0.606606,202.202,0,0,0,false,true,0,true,202.202,0
